country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","02-12-2025 22:00:00",25.567520,83.966379,CO,8,27,25
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","02-12-2025 22:00:00",25.7808257,84.7446768,PM2.5,25,63,44
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","02-12-2025 22:00:00",25.7808257,84.7446768,NO2,2,4,3
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","02-12-2025 22:00:00",24.7955,84.9994,PM2.5,54,272,134
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","02-12-2025 22:00:00",24.7955,84.9994,CO,24,101,55
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","02-12-2025 22:00:00",24.7955,84.9994,OZONE,19,21,20
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","02-12-2025 22:00:00",16.5150833,80.5181667,NO2,16,30,22
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","02-12-2025 22:00:00",16.5150833,80.5181667,CO,18,40,32
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","02-12-2025 22:00:00",13.204880,79.097889,PM10,30,73,48
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","02-12-2025 22:00:00",13.204880,79.097889,NO2,22,23,22
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","02-12-2025 22:00:00",14.465052,78.824187,CO,28,45,37
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","02-12-2025 22:00:00",16.9872867,81.7363176,PM2.5,59,106,80
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","02-12-2025 22:00:00",16.554731,80.649110,SO2,15,27,20
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","02-12-2025 22:00:00",17.72,83.3,NH3,2,4,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","02-12-2025 22:00:00",27.103358,93.679645,PM10,56,275,121
